,학교명주소,총인원남학생여학생,"과학고외고/국제고자사고기타계(외국,영재,유학,대안)",특목고계특목고비율
11,개양중학교경상남도 진주시 가좌동,205 명119 명86 명,1 명0 명0 명0 명,1 명0.49 %
12,진주여자중학교경상남도 진주시 이현동,303 명0 명303 명,1 명0 명0 명0 명,1 명0.33 %
13,대곡중학교경상남도 진주시 대곡면 유곡리,13 명11 명2 명,0 명0 명0 명0 명,0 명0.00 %
14,명석중학교경상남도 진주시 명석면 관지리,23 명12 명11 명,0 명0 명0 명0 명,0 명0.00 %
15,반성중학교경상남도 진주시 사봉면 무촌리,43 명23 명20 명,0 명0 명0 명0 명,0 명0.00 %
16,지수중학교경상남도 진주시 지수면 승산리,7 명3 명4 명,0 명0 명0 명1 명,0 명0.00 %
17,진서중학교경상남도 진주시 수곡면 대천리,9 명5 명4 명,0 명0 명0 명1 명,0 명0.00 %
18,진주봉원중학교경상남도 진주시 상봉동,166 명64 명102 명,0 명0 명1 명0 명,0 명0.00 %
19,금곡중학교경상남도 진주시 금곡면,8 명6 명2 명,0 명0 명0 명0 명,0 명0.00 %
0,의령여자중학교경상남도 의령군 가례면 가례리,55 명0 명55 명,0 명0 명0 명1 명,0 명0.00 %
1,정곡중학교경상남도 의령군 정곡면 중교리,7 명3 명4 명,0 명0 명0 명0 명,0 명0.00 %
2,신반중학교경상남도 의령군 부림면 신반리,33 명15 명18 명,0 명0 명0 명0 명,0 명0.00 %
3,의령중학교경상남도 의령군 의령읍 동동리,78 명78 명0 명,0 명0 명0 명1 명,0 명0.00 %
4,지정중학교경상남도 의령군 지정면 마산리,7 명3 명4 명,0 명0 명0 명0 명,0 명0.00 %
0,양산중앙중학교경상남도 양산시 남부동,430 명251 명179 명,0 명7 명1 명0 명,7 명1.63 %
1,웅상중학교경상남도 양산시 평산동,249 명249 명0 명,1 명3 명0 명0 명,4 명1.61 %
2,개운중학교경상남도 양산시 삼호동,313 명155 명158 명,0 명5 명0 명0 명,5 명1.60 %
3,양주중학교경상남도 양산시 상북면 석계리,80 명40 명40 명,0 명1 명0 명4 명,1 명1.25 %
4,보광중학교경상남도 양산시 하북면 순지리,85 명46 명39 명,0 명1 명0 명4 명,1 명1.18 %
5,신주중학교경상남도 양산시 물금읍 범어리,428 명247 명181 명,1 명4 명0 명1 명,5 명1.17 %
6,물금동아중학교경상남도 양산시 물금읍 물금리,204 명131 명73 명,1 명1 명0 명0 명,2 명0.98 %
7,양산여자중학교경상남도 양산시 교동,319 명0 명319 명,1 명1 명0 명0 명,2 명0.63 %
8,범어중학교경상남도 양산시 물금읍 범어리,343 명173 명170 명,0 명2 명0 명0 명,2 명0.58 %
9,웅상여자중학교경상남도 양산시 평산동,199 명0 명199 명,0 명1 명0 명23 명,1 명0.50 %
10,양산중학교경상남도 양산시 북부동,211 명211 명0 명,0 명1 명0 명4 명,1 명0.47 %
11,서창중학교경상남도 양산시 삼호동,338 명170 명168 명,0 명1 명1 명0 명,1 명0.30 %
12,삼성중학교경상남도 양산시 북정동,136 명88 명48 명,0 명0 명0 명16 명,0 명0.00 %
13,원동중학교경상남도 양산시 원동면 원리,18 명17 명1 명,0 명0 명0 명0 명,0 명0.00 %
0,덕산중학교경상남도 산청군 시천면 원리,37 명19 명18 명,0 명0 명0 명1 명,0 명0.00 %
1,단성중학교경상남도 산청군 단성면 강누리,73 명39 명34 명,0 명0 명0 명0 명,0 명0.00 %
2,신등중학교경상남도 산청군 신등면 양전리,13 명6 명7 명,0 명0 명0 명0 명,0 명0.00 %
0,사천여자중학교경상남도 사천시 정동면 화암리,219 명0 명219 명,0 명3 명0 명0 명,3 명1.37 %
1,용남중학교경상남도 사천시 용현면 선진리,114 명61 명53 명,1 명0 명0 명0 명,1 명0.88 %
2,사천중학교경상남도 사천시 사천읍 선인리,245 명245 명0 명,1 명1 명3 명0 명,2 명0.82 %
3,삼천포중학교경상남도 사천시 벌리동,134 명134 명0 명,1 명0 명0 명0 명,1 명0.75 %
4,곤양중학교경상남도 사천시 곤양면 송전리,25 명17 명8 명,0 명0 명1 명0 명,0 명0.00 %
5,삼천포여자중학교경상남도 사천시 용강동,121 명0 명121 명,0 명0 명0 명0 명,0 명0.00 %
6,삼천포중앙여자중학교경상남도 사천시 벌리동,125 명0 명125 명,0 명0 명0 명0 명,0 명0.00 %
7,서포중학교경상남도 사천시 서포면 구평리,9 명4 명5 명,0 명0 명0 명0 명,0 명0.00 %
8,곤명중학교경상남도 사천시 곤명면 송림리,4 명0 명4 명,0 명0 명0 명0 명,0 명0.00 %
9,남양중학교경상남도 사천시 송포동,55 명34 명21 명,0 명0 명0 명0 명,0 명0.00 %
10,삼천포제일중학교경상남도 사천시 용강동,96 명96 명0 명,0 명0 명0 명0 명,0 명0.00 %
0,세종중학교경상남도 밀양시 가곡동,69 명69 명0 명,1 명1 명0 명0 명,2 명2.90 %
1,미리벌중학교경상남도 밀양시 청도면 인산리,38 명16 명22 명,0 명1 명0 명0 명,1 명2.63 %
2,밀성여자중학교경상남도 밀양시 내이동,135 명0 명135 명,0 명2 명0 명1 명,2 명1.48 %
3,밀양여자중학교경상남도 밀양시 삼문동,201 명0 명201 명,0 명1 명1 명0 명,1 명0.50 %
4,무안중학교경상남도 밀양시 무안면 신법리,17 명9 명8 명,0 명0 명0 명0 명,0 명0.00 %
5,밀성중학교경상남도 밀양시 내이동,120 명120 명0 명,0 명0 명0 명0 명,0 명0.00 %
6,삼랑진중학교경상남도 밀양시 삼랑진읍 송지리,30 명16 명14 명,0 명0 명0 명0 명,0 명0.00 %
7,동국대학교사범대학부속홍제중학교경상남도 밀양시 단장면 단장리,13 명5 명8 명,0 명0 명0 명0 명,0 명0.00 %
8,동명중학교경상남도 밀양시 하남읍 수산리,69 명37 명32 명,0 명0 명0 명0 명,0 명0.00 %
9,밀양동강중학교경상남도 밀양시 산내면 송백리,14 명7 명7 명,0 명0 명0 명0 명,0 명0.00 %
10,밀양중학교경상남도 밀양시 삼문동,233 명233 명0 명,0 명0 명0 명1 명,0 명0.00 %
0,창선중학교경상남도 남해군 창선면 상죽리,23 명15 명8 명,0 명1 명0 명0 명,1 명4.35 %
1,해성중학교경상남도 남해군 남면 평산리,27 명14 명13 명,1 명0 명0 명0 명,1 명3.70 %
2,남해중학교경상남도 남해군 남해읍 북변리,87 명87 명0 명,0 명0 명0 명0 명,0 명0.00 %
3,상주중학교경상남도 남해군 상주면 상주리,11 명8 명3 명,0 명0 명0 명0 명,0 명0.00 %
4,이동중학교경상남도 남해군 이동면 무림리,14 명6 명8 명,0 명0 명0 명0 명,0 명0.00 %
5,남해여자중학교경상남도 남해군 남해읍 서변리,88 명0 명88 명,0 명0 명0 명2 명,0 명0.00 %
6,미조중학교경상남도 남해군 미조면 미조리,24 명11 명13 명,0 명0 명0 명0 명,0 명0.00 %
7,설천중학교경상남도 남해군 설천면 금음리,18 명11 명7 명,0 명0 명0 명0 명,0 명0.00 %
0,분성중학교경상남도 김해시 삼계동,410 명205 명205 명,8 명11 명22 명0 명,19 명4.63 %
1,장유중학교경상남도 김해시 장유동,174 명87 명87 명,3 명5 명1 명0 명,8 명4.60 %
2,김해서중학교경상남도 김해시 구산동,126 명126 명0 명,2 명3 명0 명1 명,5 명3.97 %
3,능동중학교경상남도 김해시 삼문동,340 명167 명173 명,1 명11 명0 명0 명,12 명3.53 %
4,임호중학교경상남도 김해시 내동,262 명145 명117 명,4 명5 명0 명13 명,9 명3.44 %
5,관동중학교경상남도 김해시 관동동,337 명184 명153 명,2 명8 명0 명8 명,10 명2.97 %
6,김해여자중학교경상남도 김해시 대성동,138 명0 명138 명,1 명3 명0 명0 명,4 명2.90 %
7,삼정중학교경상남도 김해시 삼정동,235 명127 명108 명,2 명4 명0 명9 명,6 명2.55 %
8,대청중학교경상남도 김해시 대청동,410 명222 명188 명,3 명7 명0 명11 명,10 명2.44 %
9,한림중학교경상남도 김해시 한림면 장방리,41 명23 명18 명,1 명0 명0 명1 명,1 명2.44 %
10,율하중학교경상남도 김해시 율하동,419 명207 명212 명,1 명9 명5 명10 명,10 명2.39 %
11,월산중학교경상남도 김해시 부곡동,355 명174 명181 명,1 명7 명2 명9 명,8 명2.25 %
12,김해중앙여자중학교경상남도 김해시 부원동,89 명0 명89 명,0 명2 명0 명3 명,2 명2.25 %
13,김해삼계중학교경상남도 김해시 삼계동,339 명187 명152 명,3 명3 명2 명7 명,6 명1.77 %
14,내동중학교경상남도 김해시 내동,173 명93 명80 명,0 명3 명0 명1 명,3 명1.73 %
15,구산중학교경상남도 김해시 구산동,354 명173 명181 명,1 명3 명2 명9 명,4 명1.13 %
16,경운중학교경상남도 김해시 내동,355 명186 명169 명,1 명3 명6 명3 명,4 명1.13 %
17,김해중학교경상남도 김해시 부원동,94 명94 명0 명,0 명1 명3 명2 명,1 명1.06 %
18,내덕중학교경상남도 김해시 내덕동,198 명100 명98 명,1 명1 명0 명1 명,2 명1.01 %
19,가야중학교경상남도 김해시 내동,316 명186 명130 명,1 명2 명0 명0 명,3 명0.95 %
0,고성여자중학교경상남도 고성군 고성읍 송학리,129 명0 명129 명,0 명0 명0 명0 명,0 명0.00 %
1,동해중학교경상남도 고성군 동해면 양촌리,6 명2 명4 명,0 명0 명0 명1 명,0 명0.00 %
2,철성중학교경상남도 고성군 고성읍 기월리,85 명85 명0 명,0 명0 명0 명0 명,0 명0.00 %
3,소가야중학교경상남도 고성군 삼산면 삼봉리,22 명12 명10 명,0 명0 명0 명0 명,0 명0.00 %
4,고성동중학교경상남도 고성군 거류면 당동리,33 명20 명13 명,0 명0 명0 명0 명,0 명0.00 %
5,고성중학교경상남도 고성군 고성읍 교사리,83 명83 명0 명,0 명0 명0 명0 명,0 명0.00 %
6,영천중학교경상남도 고성군 영오면 영산리,10 명7 명3 명,0 명0 명0 명1 명,0 명0.00 %
7,회화중학교경상남도 고성군 회화면 배둔리,30 명16 명14 명,0 명0 명0 명2 명,0 명0.00 %
0,샛별중학교경남 거창군 거창읍 중앙리,65 명32 명33 명,0 명2 명0 명0 명,2 명3.08 %
1,혜성여자중학교경상남도 거창군 거창읍 상림리,94 명0 명94 명,0 명1 명0 명0 명,1 명1.06 %
2,거창여자중학교경상남도 거창군 거창읍 중앙리,125 명0 명125 명,0 명1 명0 명0 명,1 명0.80 %
3,거창대성중학교경상남도 거창군 거창읍 가지리,127 명127 명0 명,0 명0 명0 명0 명,0 명0.00 %
4,거창중학교경상남도 거창군 거창읍 중앙리,131 명131 명0 명,0 명0 명0 명1 명,0 명0.00 %
5,웅양중학교경상남도 거창군 웅양면 노현리,8 명4 명4 명,0 명0 명0 명0 명,0 명0.00 %
6,거창덕유중학교경상남도 거창군 위천면 남산리,29 명16 명13 명,0 명0 명0 명0 명,0 명0.00 %
7,가조중학교경상남도 거창군 가조면 마상리,25 명8 명17 명,0 명0 명8 명0 명,0 명0.00 %
8,거창중학교고제분교장경상남도 거창군 고제면 농산리,7 명4 명3 명,0 명0 명1 명0 명,0 명0.00 %
9,거창중학교신원분교장경상남도 거창군 신원면 과정리,6 명4 명2 명,0 명0 명0 명0 명,0 명0.00 %
0,계룡중학교경상남도 거제시 고현동,403 명176 명227 명,13 명1 명1 명0 명,14 명3.47 %
1,지세포중학교경상남도 거제시 일운면 지세포리,63 명34 명29 명,0 명1 명0 명0 명,1 명1.59 %
2,거제장평중학교경상남도 거제시 장평동,205 명105 명100 명,2 명1 명0 명8 명,3 명1.46 %
3,거제고현중학교경상남도 거제시 고현동,263 명142 명121 명,3 명0 명2 명0 명,3 명1.14 %
4,옥포성지중학교경상남도 거제시 옥포동,194 명101 명93 명,1 명1 명0 명0 명,2 명1.03 %
5,해성중학교경상남도 거제시 장승포동,226 명131 명95 명,0 명2 명0 명1 명,2 명0.88 %
6,거제중학교경상남도 거제시 아주동,280 명140 명140 명,2 명0 명0 명0 명,2 명0.71 %
7,수월중학교경상남도 거제시 수월동,299 명155 명144 명,1 명1 명1 명0 명,2 명0.67 %
8,신현중학교경상남도 거제시 고현동,191 명94 명97 명,1 명0 명5 명0 명,1 명0.52 %
9,옥포중학교경상남도 거제시 옥포동,219 명120 명99 명,0 명1 명0 명0 명,1 명0.46 %
10,거제제일중학교경상남도 거제시 거제면 서정리,52 명33 명19 명,0 명0 명0 명0 명,0 명0.00 %
11,동부중학교경상남도 거제시 동부면 산양리,22 명12 명10 명,0 명0 명0 명0 명,0 명0.00 %
12,장목중학교경상남도 거제시 장목면,18 명10 명8 명,0 명0 명0 명0 명,0 명0.00 %
13,하청중학교경상남도 거제시 하청면 하청리,39 명21 명18 명,0 명0 명0 명0 명,0 명0.00 %
14,거제중앙중학교경상남도 거제시 고현동,347 명189 명158 명,0 명0 명0 명0 명,0 명0.00 %
15,성포중학교경상남도 거제시 사등면 성포리,39 명15 명24 명,0 명0 명0 명0 명,0 명0.00 %
16,둔덕중학교경상남도 거제시 둔덕면 하둔리,32 명14 명18 명,0 명0 명0 명0 명,0 명0.00 %
17,연초중학교경상남도 거제시 연초면 죽토리,61 명43 명18 명,0 명0 명0 명0 명,0 명0.00 %
18,외포중학교경상남도 거제시 장목면 외포리,11 명9 명2 명,0 명0 명0 명0 명,0 명0.00 %
0,환호여자중학교경상북도 포항시 북구 환호동,334 명0 명334 명,4 명9 명11 명0 명,13 명3.89 %
1,포항제철중학교경상북도 포항시남구 지곡동,481 명265 명216 명,7 명1 명210 명2 명,8 명1.66 %
2,포항이동중학교경상북도 포항시 남구 이동,410 명218 명192 명,6 명0 명31 명2 명,6 명1.46 %
