,학교명주소,총인원남학생여학생,"과학고외고/국제고자사고기타계(외국,영재,유학,대안)",특목고계특목고비율
5,태종대중학교부산광역시 영도구 동삼동,118 명62 명56 명,0 명1 명0 명0 명,1 명0.85 %
6,부산영선중학교부산광역시 영도구 신선동3가,143 명97 명46 명,1 명0 명1 명1 명,1 명0.70 %
7,부산체육중학교부산광역시 영도구 동삼동,28 명18 명10 명,0 명0 명0 명0 명,0 명0.00 %
0,거제여자중학교부산광역시 연제구 거제동,274 명0 명274 명,3 명9 명3 명3 명,12 명4.38 %
1,이사벨중학교부산광역시 연제구 거제동,192 명57 명135 명,2 명6 명3 명0 명,8 명4.17 %
2,연천중학교부산광역시 연제구 연산동,212 명108 명104 명,1 명7 명0 명2 명,8 명3.77 %
3,연일중학교부산광역시 연제구 연산동,198 명85 명113 명,1 명6 명3 명0 명,7 명3.54 %
4,연산중학교부산광역시 연제구 연산동,155 명155 명0 명,2 명3 명2 명0 명,5 명3.23 %
5,거성중학교부산광역시 연제구 거제동,141 명141 명0 명,2 명2 명0 명0 명,4 명2.84 %
6,연제중학교부산광역시 연제구 연산동,140 명60 명80 명,1 명2 명0 명0 명,3 명2.14 %
7,토현중학교부산광역시 연제구 연산동,193 명107 명86 명,2 명2 명0 명0 명,4 명2.07 %
0,동아중학교부산광역시 수영구 광안동,188 명96 명92 명,1 명6 명3 명2 명,7 명3.72 %
1,부산수영중학교부산광역시 수영구 광안동,182 명92 명90 명,1 명5 명1 명1 명,6 명3.30 %
2,광안중학교부산광역시 수영구 광안동,161 명88 명73 명,0 명4 명3 명0 명,4 명2.48 %
3,망미중학교부산광역시 수영구 망미동,103 명53 명50 명,0 명2 명0 명0 명,2 명1.94 %
4,동수영중학교부산광역시 수영구 광안동,215 명111 명104 명,1 명3 명1 명7 명,4 명1.86 %
5,한바다중학교부산광역시 수영구 광안동,201 명113 명88 명,1 명2 명1 명4 명,3 명1.49 %
0,경남중학교부산광역시 서구 토성동3가,206 명206 명0 명,3 명8 명2 명0 명,11 명5.34 %
1,송도중학교부산광역시 서구 남부민동,118 명118 명0 명,2 명4 명1 명0 명,6 명5.08 %
2,부산대신중학교부산광역시 서구 서대신동3가,185 명185 명0 명,4 명5 명2 명0 명,9 명4.86 %
3,부산여자중학교부산광역시 서구 서대신동3가,214 명0 명214 명,1 명7 명1 명0 명,8 명3.74 %
4,부산중앙여자중학교부산광역시 서구 서대신동3가,182 명0 명182 명,0 명5 명1 명0 명,5 명2.75 %
5,대신여자중학교부산광역시 서구 동대신동2가 87-9,188 명0 명188 명,1 명3 명0 명23 명,4 명2.13 %
6,초장중학교부산광역시 서구 초장동,109 명109 명0 명,1 명1 명0 명0 명,2 명1.83 %
0,동주여자중학교부산광역시 사하구 괴정동,224 명0 명224 명,6 명11 명0 명0 명,17 명7.59 %
1,다대중학교부산광역시 사하구 다대동,201 명108 명93 명,2 명11 명3 명0 명,13 명6.47 %
2,사하중학교부산광역시 사하구 괴정동,205 명99 명106 명,3 명6 명0 명0 명,9 명4.39 %
3,삼성중학교부산광역시 사하구 감천동,138 명138 명0 명,4 명2 명0 명0 명,6 명4.35 %
4,건국중학교부산광역시 사하구 하단동,187 명187 명0 명,3 명5 명1 명0 명,8 명4.28 %
5,다송중학교부산광역시 사하구 다대동,181 명92 명89 명,1 명6 명1 명5 명,7 명3.87 %
6,대동중학교부산광역시 사하구 신평동,214 명214 명0 명,5 명3 명1 명0 명,8 명3.74 %
7,하단중학교부산광역시 사하구 하단동,196 명62 명134 명,1 명6 명2 명19 명,7 명3.57 %
8,당리중학교부산광역시 사하구 당리동,205 명78 명127 명,0 명7 명1 명5 명,7 명3.41 %
9,영남중학교부산광역시 사하구 장림동,155 명155 명0 명,2 명3 명1 명0 명,5 명3.23 %
10,장림여자중학교부산광역시 사하구 장림동,186 명0 명186 명,1 명5 명0 명8 명,6 명3.23 %
11,하남중학교부산광역시 사하구 하단1동,159 명80 명79 명,1 명3 명1 명0 명,4 명2.52 %
12,다선중학교부산광역시 사하구 다대동,227 명127 명100 명,1 명4 명5 명1 명,5 명2.20 %
13,장평중학교부산광역시 사하구 감천동,196 명93 명103 명,1 명3 명0 명0 명,4 명2.04 %
14,감천중학교부산광역시 사하구 감천동,155 명65 명90 명,2 명1 명0 명0 명,3 명1.94 %
15,두송중학교부산광역시 사하구 다대2동,212 명105 명107 명,1 명3 명2 명11 명,4 명1.89 %
0,동주중학교부산광역시 사상구 주례동,157 명157 명0 명,1 명4 명0 명0 명,5 명3.18 %
1,주례여자중학교부산광역시 사상구 주례동,114 명0 명114 명,0 명3 명0 명1 명,3 명2.63 %
2,학장중학교부산광역시 사상구 학장동,207 명125 명82 명,0 명4 명2 명1 명,4 명1.93 %
3,주례중학교부산광역시 사상구 주례동,110 명74 명36 명,0 명2 명0 명0 명,2 명1.82 %
4,모동중학교부산광역시 사상구 모라동,149 명83 명66 명,0 명2 명1 명0 명,2 명1.34 %
5,주감중학교부산광역시 사상구 주례동,159 명93 명66 명,0 명2 명1 명0 명,2 명1.26 %
6,엄궁중학교부산광역시 사상구 엄궁동,240 명135 명105 명,1 명2 명0 명32 명,3 명1.25 %
7,모라중학교부산광역시 사상구 모라동,224 명130 명94 명,0 명1 명2 명1 명,1 명0.45 %
8,덕포여자중학교부산광역시 사상구 덕포동,101 명0 명101 명,0 명0 명0 명6 명,0 명0.00 %
9,신라중학교부산광역시 사상구 덕포동,157 명93 명64 명,0 명0 명0 명0 명,0 명0.00 %
0,금명중학교부산광역시 북구 금곡동,237 명127 명110 명,3 명10 명2 명2 명,13 명5.49 %
1,덕천여자중학교부산광역시 북구 덕천동,104 명0 명104 명,0 명4 명0 명4 명,4 명3.85 %
2,명진중학교부산광역시 북구 화명동,261 명137 명124 명,3 명7 명3 명0 명,10 명3.83 %
3,금곡중학교부산광역시 북구 금곡동,162 명78 명84 명,2 명4 명0 명0 명,6 명3.70 %
4,화명중학교부산광역시 북구 화명동,335 명169 명166 명,3 명7 명8 명4 명,10 명2.99 %
5,용수중학교부산광역시 북구 화명동,319 명159 명160 명,3 명6 명6 명1 명,9 명2.82 %
6,신덕중학교부산광역시 북구 만덕동,254 명140 명114 명,2 명5 명0 명5 명,7 명2.76 %
7,화신중학교부산광역시 북구 화명동,223 명113 명110 명,1 명5 명3 명7 명,6 명2.69 %
8,구남중학교부산광역시 북구 구포동,159 명104 명55 명,0 명4 명13 명0 명,4 명2.52 %
9,가람중학교부산광역시 북구 구포동,141 명80 명61 명,0 명3 명0 명2 명,3 명2.13 %
10,구포중학교부산광역시 북구 구포동,149 명91 명58 명,0 명2 명0 명4 명,2 명1.34 %
11,백양중학교부산광역시 북구 만덕동,163 명94 명69 명,0 명2 명0 명0 명,2 명1.23 %
12,양덕여자중학교부산광역시 북구 구포동,101 명0 명101 명,0 명1 명0 명7 명,1 명0.99 %
13,대천리중학교부산광역시 북구 화명동,127 명62 명65 명,0 명1 명0 명0 명,1 명0.79 %
14,덕천중학교부산광역시 북구 덕천동,163 명163 명0 명,0 명0 명1 명0 명,0 명0.00 %
15,만덕중학교부산광역시 북구 만덕동,114 명66 명48 명,0 명0 명0 명1 명,0 명0.00 %
0,부산국제중학교부산광역시 부산진구 당감동,63 명21 명42 명,4 명27 명4 명3 명,31 명49.21 %
1,부산동중학교부산광역시 부산진구 전포동,168 명168 명0 명,0 명11 명3 명0 명,11 명6.55 %
2,개금여자중학교부산광역시 부산진구 당감동,140 명0 명140 명,0 명6 명2 명0 명,6 명4.29 %
3,동의중학교부산광역시 부산진구 전포동,126 명126 명0 명,2 명3 명1 명0 명,5 명3.97 %
4,초연중학교부산광역시 부산진구 초읍동,208 명91 명117 명,0 명7 명0 명0 명,7 명3.37 %
5,양동여자중학교부산광역시 부산진구 양정동,208 명0 명208 명,2 명5 명4 명3 명,7 명3.37 %
6,광무여자중학교부산광역시 부산진구 개금동,153 명0 명153 명,0 명5 명0 명0 명,5 명3.27 %
7,부산개성중학교부산광역시 부산진구 가야동,267 명267 명0 명,1 명7 명1 명1 명,8 명3.00 %
8,가야여자중학교부산광역시 부산진구 가야동,175 명0 명175 명,1 명4 명0 명0 명,5 명2.86 %
9,동양중학교부산광역시 부산진구 부암동,275 명153 명122 명,1 명6 명2 명1 명,7 명2.55 %
10,동평중학교부산광역시 부산진구 부암동,166 명166 명0 명,1 명3 명4 명0 명,4 명2.41 %
11,덕명여자중학교부산광역시 부산진구 전포동,130 명0 명130 명,1 명2 명0 명0 명,3 명2.31 %
12,초읍중학교부산광역시 부산진구 초읍동,223 명115 명108 명,1 명3 명1 명0 명,4 명1.79 %
13,부산진여자중학교부산광역시 부산진구 전포동,131 명0 명131 명,0 명2 명0 명0 명,2 명1.53 %
14,개림중학교부산광역시 부산진구 개금동,258 명139 명119 명,0 명3 명0 명1 명,3 명1.16 %
15,서면중학교부산광역시 부산진구 부암동,90 명90 명0 명,0 명1 명0 명1 명,1 명1.11 %
16,동평여자중학교부산광역시 부산진구 부암동,143 명0 명143 명,0 명1 명0 명12 명,1 명0.70 %
17,항도중학교부산광역시 부산진구 전포동,157 명157 명0 명,0 명1 명0 명1 명,1 명0.64 %
18,부산진중학교부산광역시 부산진구 범전동,162 명162 명0 명,0 명1 명2 명6 명,1 명0.62 %
0,사직여자중학교부산광역시 동래구 사직동,276 명0 명276 명,0 명16 명7 명3 명,16 명5.80 %
1,동해중학교부산광역시 동래구 명륜동,161 명161 명0 명,3 명5 명1 명3 명,8 명4.97 %
2,사직중학교부산광역시 동래구 사직동,303 명233 명70 명,10 명5 명3 명0 명,15 명4.95 %
3,부산내성중학교부산광역시 동래구 온천동,219 명219 명0 명,3 명7 명7 명3 명,10 명4.57 %
4,유락여자중학교부산광역시 동래구 온천동,272 명0 명272 명,1 명11 명2 명1 명,12 명4.41 %
5,안락중학교부산광역시 동래구 안락동,212 명109 명103 명,1 명8 명0 명1 명,9 명4.25 %
6,혜화여자중학교부산광역시 동래구 명장동,100 명0 명100 명,1 명3 명0 명0 명,4 명4.00 %
7,여명중학교부산광역시 동래구 사직동,290 명290 명0 명,7 명4 명5 명5 명,11 명3.79 %
8,온천중학교부산광역시 동래구 온천동,272 명123 명149 명,4 명5 명1 명0 명,9 명3.31 %
9,남일중학교부산광역시 동래구 안락동,227 명115 명112 명,1 명5 명2 명0 명,6 명2.64 %
10,학산여자중학교부산광역시 동래구 명장동,197 명0 명197 명,1 명3 명0 명0 명,4 명2.03 %
11,동신중학교부산광역시 동래구 명장동,118 명118 명0 명,1 명1 명0 명1 명,2 명1.69 %
12,동래중학교부산광역시 동래구 명륜동,202 명202 명0 명,0 명3 명8 명0 명,3 명1.49 %
13,충렬중학교부산광역시 동래구 명장동,103 명103 명0 명,0 명1 명0 명0 명,1 명0.97 %
0,경남여자중학교부산광역시 동구 수정동,211 명0 명211 명,0 명6 명0 명3 명,6 명2.84 %
1,부산중학교부산광역시 동구 초량동,142 명142 명0 명,1 명3 명1 명0 명,4 명2.82 %
2,부산서중학교부산광역시 동구 수정동,116 명116 명0 명,0 명3 명1 명1 명,3 명2.59 %
3,선화여자중학교부산광역시 동구 초량동,120 명0 명120 명,1 명2 명0 명12 명,3 명2.50 %
4,금성중학교부산광역시 동구 좌천동,102 명102 명0 명,1 명1 명2 명0 명,2 명1.96 %
5,부산동여자중학교부산광역시 동구,100 명0 명100 명,0 명0 명0 명0 명,0 명0.00 %
0,용호중학교부산광역시 남구 용호동,251 명140 명111 명,5 명10 명6 명7 명,15 명5.98 %
1,남천중학교부산광역시 남구 대연동,347 명163 명184 명,1 명17 명8 명2 명,18 명5.19 %
2,대천중학교부산광역시 남구 대연동,275 명191 명84 명,5 명7 명5 명2 명,12 명4.36 %
3,분포중학교부산광역시 남구 용호1동 176-67번지,305 명162 명143 명,1 명11 명6 명0 명,12 명3.93 %
4,석포여자중학교부산광역시 남구 용당동,172 명0 명172 명,0 명6 명0 명0 명,6 명3.49 %
5,용문중학교부산광역시 남구 용호동,246 명132 명114 명,2 명6 명6 명1 명,8 명3.25 %
6,문현여자중학교부산광역시 남구 문현동,152 명0 명152 명,1 명3 명0 명0 명,4 명2.63 %
7,오륙도중학교부산광역시 남구 용호동,158 명82 명76 명,1 명3 명0 명0 명,4 명2.53 %
8,대연중학교부산광역시 남구 대연동,253 명131 명122 명,1 명4 명0 명5 명,5 명1.98 %
9,해연중학교부산광역시 남구 대연동,219 명106 명113 명,0 명4 명0 명0 명,4 명1.83 %
10,성동중학교부산광역시 남구 문현동,232 명232 명0 명,1 명1 명1 명9 명,2 명0.86 %
11,감만중학교부산광역시 남구 감만동,132 명77 명55 명,0 명1 명0 명1 명,1 명0.76 %
12,동항중학교부산광역시 남구 감만동,118 명68 명50 명,0 명0 명1 명0 명,0 명0.00 %
0,모전중학교부산광역시 기장군 정관읍,257 명118 명139 명,2 명5 명2 명0 명,7 명2.72 %
1,부산중앙중학교부산광역시 기장군 정관읍 방곡리,233 명126 명107 명,2 명4 명1 명0 명,6 명2.58 %
2,신정중학교부산광역시 기장군 정관읍 용수리,264 명132 명132 명,0 명5 명2 명5 명,5 명1.89 %
3,대청중학교부산광역시 기장군 기장읍 청강리,219 명121 명98 명,0 명3 명0 명3 명,3 명1.37 %
4,장안중학교부산광역시 기장군 장안읍 좌천리,195 명105 명90 명,0 명1 명0 명0 명,1 명0.51 %
5,기장중학교부산광역시 기장군 기장읍 대라리,228 명132 명96 명,0 명1 명0 명1 명,1 명0.44 %
6,정관중학교부산광역시 기장군 정관읍,0 명0 명0 명,0 명0 명0 명0 명,
0,브니엘예술중학교부산광역시 금정구 구서동,92 명36 명56 명,7 명20 명16 명0 명,27 명29.35 %
1,구서여자중학교부산광역시 금정구 구서동,283 명0 명283 명,3 명15 명1 명4 명,18 명6.36 %
2,부곡여자중학교부산광역시 금정구 부곡동,195 명0 명195 명,0 명12 명1 명3 명,12 명6.15 %
3,동래여자중학교부산광역시 금정구 부곡동 산7-1,278 명0 명278 명,3 명12 명2 명2 명,15 명5.40 %
4,금양중학교부산광역시 금정구 부곡동,254 명108 명146 명,0 명10 명3 명2 명,10 명3.94 %
5,부곡중학교부산광역시 금정구 부곡동,222 명110 명112 명,1 명5 명3 명0 명,6 명2.70 %
6,동현중학교부산광역시 금정구 부곡동,140 명140 명0 명,0 명3 명0 명2 명,3 명2.14 %
7,남산중학교부산광역시 금정구 남산동,252 명252 명0 명,2 명3 명7 명1 명,5 명1.98 %
8,장전중학교부산광역시 금정구 장전동,179 명179 명0 명,2 명1 명8 명1 명,3 명1.68 %
9,금사중학교부산광역시 금정구 서동,141 명78 명63 명,0 명2 명0 명0 명,2 명1.42 %
10,금정중학교부산광역시 금정구 남산동,174 명174 명0 명,1 명0 명10 명0 명,1 명0.57 %
11,부산예술중학교부산광역시 금정구 구서동,105 명20 명85 명,0 명0 명0 명0 명,0 명0.00 %
0,명호중학교부산광역시 강서구 명지동,363 명173 명190 명,4 명13 명4 명0 명,17 명4.68 %
1,낙동중학교부산광역시 강서구 대저1동,62 명43 명19 명,0 명1 명1 명2 명,1 명1.61 %
2,가락중학교부산광역시 강서구 죽림동,37 명14 명23 명,0 명0 명0 명0 명,0 명0.00 %
3,대저중학교부산광역시 강서구 대저2동,34 명22 명12 명,0 명0 명0 명0 명,0 명0.00 %
4,경일중학교부산광역시 강서구 명지동,24 명16 명8 명,0 명0 명0 명0 명,0 명0.00 %
5,녹산중학교부산광역시 강서구 녹산동 124번지,23 명16 명7 명,0 명0 명0 명1 명,0 명0.00 %
6,덕문중학교부산광역시 강서구 성북동,10 명5 명5 명,0 명0 명0 명0 명,0 명0.00 %
7,신호중학교부산광역시 강서구 신호동,61 명27 명34 명,0 명0 명0 명3 명,0 명0.00 %
8,명지중학교부산광역시 강서구 명지동,48 명18 명30 명,0 명0 명0 명2 명,0 명0.00 %
9,지사중학교부산광역시 강서구 지사동,0 명0 명0 명,0 명0 명0 명0 명,
0,원묵중학교서울특별시 중랑구 묵동,401 명206 명195 명,2 명10 명22 명2 명,12 명2.99 %
1,신현중학교서울특별시 중랑구 상봉동,260 명144 명116 명,0 명6 명15 명3 명,6 명2.31 %
2,중화중학교서울특별시 중랑구 면목동,271 명183 명88 명,1 명3 명9 명0 명,4 명1.48 %
3,영란여자중학교서울특별시 중랑구 망우동,136 명0 명136 명,0 명2 명1 명1 명,2 명1.47 %
4,중랑중학교서울특별시 중랑구 중화동,205 명122 명83 명,0 명3 명7 명1 명,3 명1.46 %
5,송곡여자중학교서울특별시 중랑구 망우동,70 명0 명70 명,0 명1 명0 명0 명,1 명1.43 %
6,상봉중학교서울특별시 중랑구 상봉동,292 명159 명133 명,0 명4 명17 명2 명,4 명1.37 %
7,면목중학교서울특별시 중랑구 면목동,241 명156 명85 명,0 명3 명11 명0 명,3 명1.24 %
8,태릉중학교서울특별시 중랑구 묵동,165 명79 명86 명,0 명2 명5 명0 명,2 명1.21 %
9,장안중학교서울특별시 중랑구 중화동,205 명123 명82 명,0 명2 명9 명0 명,2 명0.98 %
10,혜원여자중학교서울특별시 중랑구 망우동,210 명0 명210 명,0 명2 명1 명0 명,2 명0.95 %
11,용마중학교서울특별시 중랑구 면목동,238 명145 명93 명,0 명2 명15 명2 명,2 명0.84 %
12,동원중학교서울특별시 중랑구 망우동,111 명97 명14 명,0 명0 명9 명2 명,0 명0.00 %
13,봉화중학교서울특별시 중랑구 망우동,140 명112 명28 명,0 명0 명0 명1 명,0 명0.00 %
0,장원중학교서울특별시 중구 신당동,92 명0 명92 명,0 명3 명5 명1 명,3 명3.26 %
1,창덕여자중학교서울특별시 중구 정동,85 명0 명85 명,0 명2 명12 명0 명,2 명2.35 %
2,덕수중학교서울특별시 중구 인현동2가,96 명40 명56 명,1 명1 명8 명0 명,2 명2.08 %
3,금호여자중학교서울특별시 중구 신당동,144 명0 명144 명,0 명2 명11 명2 명,2 명1.39 %
4,환일중학교서울특별시 중구 만리동2가,76 명76 명0 명,1 명0 명7 명1 명,1 명1.32 %
5,한양중학교서울특별시 중구 신당동,103 명103 명0 명,0 명1 명0 명1 명,1 명0.97 %
6,대경중학교서울특별시 중구 신당동,143 명143 명0 명,1 명0 명20 명1 명,1 명0.70 %
7,장충중학교서울특별시 중구 신당동,106 명106 명0 명,0 명0 명5 명0 명,0 명0.00 %
0,상명대학교사범대학부속여자중학교서울특별시 종로구 홍지동,132 명0 명132 명,1 명6 명11 명2 명,7 명5.30 %
1,서울대학교사범대학부설여자중학교서울특별시 종로구 이화동,200 명0 명200 명,0 명10 명9 명0 명,10 명5.00 %
2,배화여자중학교서울특별시 종로구 필운동,168 명0 명168 명,0 명6 명21 명5 명,6 명3.57 %
3,경신중학교서울특별시 종로구 혜화동,107 명107 명0 명,0 명3 명27 명0 명,3 명2.80 %
4,동성중학교서울특별시 종로구 혜화동,157 명157 명0 명,0 명4 명37 명0 명,4 명2.55 %
5,청운중학교서울특별시 종로구 청운동,187 명187 명0 명,2 명2 명50 명0 명,4 명2.14 %
6,중앙중학교서울특별시 종로구 계동,97 명68 명29 명,1 명1 명28 명1 명,2 명2.06 %
7,대신중학교서울특별시 종로구 행촌동,157 명157 명0 명,1 명1 명24 명2 명,2 명1.27 %
8,덕성여자중학교서울특별시 종로구 송현동,86 명0 명86 명,0 명1 명2 명1 명,1 명1.16 %
0,숭실중학교서울특별시 은평구 신사동,159 명159 명0 명,5 명1 명12 명0 명,6 명3.77 %
1,신도중학교서울특별시 은평구 진관동,277 명135 명142 명,3 명7 명50 명2 명,10 명3.61 %
2,증산중학교서울특별시 은평구 증산동,175 명101 명74 명,1 명5 명9 명2 명,6 명3.43 %
3,예일여자중학교서울특별시 은평구 구산동,249 명0 명249 명,0 명6 명13 명0 명,6 명2.41 %
4,진관중학교서울특별시 은평구 진관동,325 명169 명156 명,1 명6 명68 명3 명,7 명2.15 %
5,선일여자중학교서울특별시 은평구 갈현동,243 명0 명243 명,1 명4 명9 명0 명,5 명2.06 %
6,구산중학교서울특별시 은평구 구산동,304 명186 명118 명,1 명4 명18 명0 명,5 명1.64 %
7,대성중학교서울특별시 은평구 갈현2동,289 명289 명0 명,0 명4 명61 명0 명,4 명1.38 %
8,불광중학교서울특별시 은평구 불광동,246 명145 명101 명,0 명3 명31 명1 명,3 명1.22 %
9,영락중학교서울특별시 은평구 응암동,252 명123 명129 명,0 명3 명14 명0 명,3 명1.19 %
10,은평중학교서울특별시 은평구 구산동,253 명143 명110 명,0 명3 명17 명1 명,3 명1.19 %
11,덕산중학교서울특별시 은평구 신사동,180 명69 명111 명,0 명2 명7 명5 명,2 명1.11 %
12,충암중학교서울특별시 은평구 응암동,298 명163 명135 명,1 명2 명15 명0 명,3 명1.01 %
13,상신중학교서울특별시 은평구 신사동,205 명92 명113 명,0 명2 명15 명0 명,2 명0.98 %
14,연신중학교서울특별시 은평구 불광동,212 명112 명100 명,0 명2 명18 명1 명,2 명0.94 %
15,선정중학교서울특별시 은평구 갈현동,287 명163 명124 명,0 명2 명6 명1 명,2 명0.70 %
16,연천중학교서울특별시 은평구 불광동,178 명106 명72 명,0 명1 명11 명3 명,1 명0.56 %
17,연서중학교서울특별시 은평구 증산동,186 명74 명112 명,0 명0 명9 명0 명,0 명0.00 %
0,용강중학교서울특별시 용산구 이촌동,262 명129 명133 명,5 명9 명73 명2 명,14 명5.34 %
1,선린중학교서울특별시 용산구 청파동3가,239 명145 명94 명,0 명5 명14 명4 명,5 명2.09 %
2,성심여자중학교서울특별시 용산구 원효로4가,121 명0 명121 명,0 명2 명13 명0 명,2 명1.65 %
3,배문중학교서울특별시 용산구 서계동,184 명184 명0 명,2 명1 명18 명1 명,3 명1.63 %
4,보성여자중학교서울특별시 용산구 용산동2가,144 명0 명144 명,0 명2 명0 명2 명,2 명1.39 %
5,신광여자중학교서울특별시 용산구 청파동3가,129 명0 명129 명,0 명1 명2 명0 명,1 명0.78 %
6,한강중학교서울특별시 용산구 서빙고동,164 명23 명141 명,0 명1 명9 명1 명,1 명0.61 %
7,오산중학교서울특별시 용산구 보광동,168 명168 명0 명,0 명1 명8 명2 명,1 명0.60 %
8,용산중학교서울 용산구 용산동2가,156 명156 명0 명,0 명0 명7 명0 명,0 명0.00 %
0,양화중학교서울특별시 영등포구 문래동3가,224 명110 명114 명,2 명6 명42 명0 명,8 명3.57 %
1,여의도중학교서울특별시 영등포구 여의도동,320 명163 명157 명,2 명9 명61 명1 명,11 명3.44 %
2,윤중중학교서울특별시 영등포구 여의도동,207 명107 명100 명,2 명4 명24 명0 명,6 명2.90 %
3,선유중학교서울특별시 영등포구 양평동3가,198 명110 명88 명,0 명5 명34 명2 명,5 명2.53 %
4,영남중학교서울특별시 영등포구 대림동,247 명146 명101 명,0 명4 명14 명2 명,4 명1.62 %
5,당산서중학교서울특별시 영등포구 당산동5가,194 명97 명97 명,0 명3 명24 명1 명,3 명1.55 %
6,문래중학교서울특별시 영등포구 문래동6가,206 명106 명100 명,2 명1 명35 명1 명,3 명1.46 %
7,당산중학교서울특별시 영등포구 당산동6가,167 명100 명67 명,0 명2 명20 명5 명,2 명1.20 %
8,영원중학교서울특별시 영등포구 영등포동,264 명138 명126 명,1 명2 명22 명3 명,3 명1.14 %
9,대영중학교서울특별시 영등포구 신길동,242 명120 명122 명,0 명1 명9 명4 명,1 명0.41 %
10,대림중학교서울특별시 영등포구 대림동,231 명116 명115 명,0 명0 명13 명2 명,0 명0.00 %
0,신서중학교서울특별시 양천구 신정동,455 명294 명161 명,6 명19 명62 명3 명,25 명5.49 %
1,목운중학교서울특별시 양천구 목동,483 명240 명243 명,12 명10 명78 명2 명,22 명4.55 %
2,목일중학교서울특별시 양천구 신정동,468 명289 명179 명,9 명12 명78 명0 명,21 명4.49 %
3,신목중학교서울특별시 양천구 목동,540 명237 명303 명,9 명14 명64 명12 명,23 명4.26 %
4,목동중학교서울특별시 양천구 신정동,487 명244 명243 명,4 명13 명50 명7 명,17 명3.49 %
5,월촌중학교서울특별시 양천구 목동,506 명197 명309 명,2 명15 명99 명8 명,17 명3.36 %
6,강신중학교서울특별시 양천구 신월동,334 명172 명162 명,4 명7 명12 명1 명,11 명3.29 %
7,금옥중학교서울특별시 양천구 신정동,341 명161 명180 명,2 명7 명14 명1 명,9 명2.64 %
8,영도중학교서울특별시 양천구 목동,199 명199 명0 명,2 명2 명9 명0 명,4 명2.01 %
9,봉영여자중학교서울특별시 양천구 신정동,203 명0 명203 명,3 명1 명8 명0 명,4 명1.97 %
10,신월중학교서울특별시 양천구 신월동,336 명172 명164 명,0 명5 명21 명1 명,5 명1.49 %
11,양정중학교서울특별시 양천구 목동,205 명205 명0 명,2 명1 명82 명4 명,3 명1.46 %
12,양강중학교서울특별시 양천구 신월동,365 명213 명152 명,0 명5 명8 명2 명,5 명1.37 %
13,양동중학교서울특별시 양천구 목동,331 명159 명172 명,1 명3 명9 명2 명,4 명1.21 %
14,신화중학교서울특별시 양천구 신월동,312 명165 명147 명,1 명2 명5 명2 명,3 명0.96 %
15,신남중학교서울특별시 양천구 신월동,256 명139 명117 명,0 명2 명5 명2 명,2 명0.78 %
16,양천중학교서울특별시 양천구 신월동,299 명149 명150 명,0 명2 명7 명0 명,2 명0.67 %
17,양서중학교서울특별시 양천구 신월동,178 명79 명99 명,0 명1 명2 명0 명,1 명0.56 %
18,신원중학교서울특별시 양천구 신월동,158 명69 명89 명,0 명0 명0 명5 명,0 명0.00 %
0,오륜중학교서울특별시 송파구 방이동,261 명57 명204 명,2 명11 명34 명4 명,13 명4.98 %
1,신천중학교서울특별시 송파구 잠실동,405 명255 명150 명,11 명8 명95 명1 명,19 명4.69 %
2,송파중학교서울특별시 송파구 가락동,391 명178 명213 명,2 명13 명50 명2 명,15 명3.84 %
3,가원중학교서울특별시 송파구 가락동,211 명112 명99 명,3 명5 명29 명3 명,8 명3.79 %
4,방산중학교서울특별시 송파구 방이동,202 명103 명99 명,1 명6 명19 명0 명,7 명3.47 %
5,석촌중학교서울특별시 송파구 가락동,180 명94 명86 명,3 명3 명15 명2 명,6 명3.33 %
6,가락중학교서울특별시 송파구 송파동,249 명174 명75 명,3 명5 명28 명2 명,8 명3.21 %
7,잠신중학교서울특별시 송파구 잠실동,436 명243 명193 명,6 명8 명74 명5 명,14 명3.21 %
8,세륜중학교서울특별시 송파구 오금동,193 명79 명114 명,0 명6 명5 명6 명,6 명3.11 %
9,보성중학교서울특별시 송파구 방이동,179 명179 명0 명,3 명2 명35 명1 명,5 명2.79 %
10,잠실중학교서울특별시 송파구 신천동,398 명214 명184 명,3 명7 명56 명5 명,10 명2.51 %
11,아주중학교서울특별시 송파구 잠실동,240 명153 명87 명,1 명5 명28 명1 명,6 명2.50 %
12,일신여자중학교서울특별시 송파구 송파동,197 명0 명197 명,1 명3 명5 명0 명,4 명2.03 %
13,풍납중학교서울특별시 송파구 풍납동,152 명113 명39 명,1 명2 명27 명1 명,3 명1.97 %
14,문정중학교서울특별시 송파구 문정동,263 명132 명131 명,2 명3 명16 명7 명,5 명1.90 %
15,거원중학교서울특별시 송파구 거여동,211 명94 명117 명,1 명3 명9 명1 명,4 명1.90 %
16,정신여자중학교서울특별시 송파구 잠실동,329 명0 명329 명,1 명5 명20 명2 명,6 명1.82 %
17,오주중학교서울특별시 송파구 오금동,259 명82 명177 명,0 명3 명13 명1 명,3 명1.16 %
18,배명중학교서울특별시 송파구 삼전동,271 명271 명0 명,0 명3 명22 명1 명,3 명1.11 %
19,방이중학교서울특별시 송파구 방이동,204 명131 명73 명,0 명2 명21 명0 명,2 명0.98 %
0,종암중학교서울특별시 성북구 종암동,258 명70 명188 명,0 명13 명18 명3 명,13 명5.04 %
1,동구여자중학교서울특별시 성북구 성북동,174 명0 명174 명,0 명6 명11 명1 명,6 명3.45 %
