,학교명주소,서울대 계수시정시	,KAIST 계수시정시,서울대 + KAIST,서울대 계수시정시
1,영동고등학교(일반고)경상북도 영천시 야사동,1 명0 명1 명,0 명0 명0 명,1 명,
2,영천여자고등학교(일반고)경상북도 영천시 화룡동,1 명1 명0 명,0 명0 명0 명,1 명,
3,영천성남여자고등학교(일반고)경상북도 영천시 도동,0 명0 명0 명,0 명0 명0 명,0 명,
0,영광여자고등학교(일반고)경상북도 영주시 영주동,1 명1 명0 명,0 명0 명0 명,1 명,
1,영주제일고등학교(자율고)경상북도 영주시 가흥동,1 명1 명0 명,0 명0 명0 명,1 명,
2,영광고등학교(일반고)경상북도 영주시 상망동,0 명0 명0 명,0 명0 명0 명,0 명,
3,영주고등학교(자율형공립고)경상북도 영주시 하망동,0 명0 명0 명,0 명0 명0 명,0 명,
0,영양여자고등학교(일반고)경상북도 영양군 영양읍 동부리,1 명1 명0 명,1 명1 명0 명,2 명,
0,풍산고등학교(일반고)경상북도 안동시 풍산읍 안교리,5 명1 명4 명,1 명1 명0 명,6 명,
1,안동고등학교(자율형공립고)경상북도 안동시 정상동,1 명1 명0 명,0 명0 명0 명,1 명,
2,경안여자고등학교(일반고)경상북도 안동시 송현동,1 명1 명0 명,0 명0 명0 명,1 명,
3,안동여자고등학교(일반고)경상북도 안동시 법상동,0 명0 명0 명,0 명0 명0 명,0 명,
4,경안고등학교(일반고)경북 안동시 금곡동,0 명0 명0 명,0 명0 명0 명,0 명,
0,성주고등학교(일반고)경상북도 성주군 성주읍 금산리,2 명2 명0 명,0 명0 명0 명,2 명,
1,성주여자고등학교(일반고)경상북도 성주군 성주읍 경산리,0 명0 명0 명,0 명0 명0 명,0 명,
0,우석여자고등학교(일반고)경상북도 상주시 계산동,1 명1 명0 명,1 명1 명0 명,2 명,
1,상주고등학교(일반고)경상북도 상주시 신봉동,1 명0 명1 명,0 명0 명0 명,1 명,
2,상주여자고등학교(자율고)경상북도 상주시 복룡동,1 명1 명0 명,0 명0 명0 명,1 명,
0,한국산림과학고등학교(특성화고)경상북도 봉화군 춘양면 서동리,1 명1 명0 명,0 명0 명0 명,1 명,
1,봉화고등학교(일반고)경상북도 봉화군 봉화읍 삼계리,0 명0 명0 명,0 명0 명0 명,0 명,
0,점촌고등학교(자율형공립고)경상북도 문경시 모전동,2 명2 명0 명,0 명0 명0 명,2 명,
1,문경여자고등학교(일반고)경상북도 문경시 점촌동,1 명1 명0 명,0 명0 명0 명,1 명,
2,문창고등학교(일반고)경상북도 문경시 흥덕동,0 명0 명0 명,0 명0 명0 명,0 명,
0,김천고등학교(자율형사립고)경상북도 김천시 부곡동,8 명7 명1 명,0 명0 명0 명,8 명,
1,김천예술고등학교(예술고)경상북도 김천시 교동,2 명2 명0 명,0 명0 명0 명,2 명,
2,성의고등학교(일반고)경상북도 김천시 지좌동,1 명1 명0 명,0 명0 명0 명,1 명,
3,김천여자고등학교(일반고)경상북도 김천시 모암동,0 명0 명0 명,0 명0 명0 명,0 명,
0,군위고등학교(일반고)경상북도 군위군 군위읍 정리,1 명1 명0 명,0 명0 명0 명,1 명,
