,academy_name,title,local,subject,start_date,end_date
235,대치스터디,"과외강사 모집(수학,영어,국어 - 서울 및 경기도 전역",서울 강남구,수학,09.11,10.11
236,더매쓰수학전문,초등수학교육 지도교사 모집,서울 마포구,수학,09.11,채용시
237,미래엔 사고력수학,미래엔 아담리즈 사고력 수학학원에서 선생님을 모십니다,경기 성남시,수학,09.11,채용시
238,공주쌤수학학원,[길음뉴타운] 수학 초중등 전임 선생님 모십니다.,서울 성북구,수학,09.11,채용시
239,엘리하이어학원,영어강사/전임/파트/초등영어/죽전/보정동,경기 용인시,영어,09.11,채용시
240,YBM잉글루,초 중등 수학선생님을 모십니다.(월수금 파트),서울 노원구,수학,09.10,09.30
241,강서펜타곤학원,수학/영어 초.중.고 선생님을 채용합니다.,서울 강서구,수학,09.10,09.25
242,올인학원,중등부 영어파트 선생님 구합니다.,인천 서구,영어,09.10,채용시
243,TS학원,용인 수지 중고등 영어강사 채용합니다,경기 용인시,영어,09.10,10.03
244,수도보습학원,[금천구 독산동] 초등부/중등부 영어 전임강사 모집,서울 금천구,영어,09.10,채용시
245,Summit 영어,초*중등 영어 학원의 비젼을 같이 할  파트 강사님 모심,경기 성남시,영어,09.10,채용시
246,제이엠아이수학학원,(분당 야탑) JMI 수학학원 중등부 수학선생님을 모집합니다,경기 성남시,수학,09.10,10.09
247,고석용현탑학원,[대치동]고석용현탑 국/영/수/과탐 강사 모집,서울 강남구,수학,09.10,10.10
248,게이트 영재센터,수학/과학 선생님 모십니다,경기 용인시,수학,09.10,10.10
249,SM에듀,sm에듀와 함께 성장할 강사님 모십니다.,서울 강남구,수학,09.10,채용시
250,국풍2000 석촌관,"국풍2000석촌관에서 중,고등부 국어 선생님을 모십니다.",서울 송파구,국어,09.10,10.10
251,금오민족사관학원,민족사관학원에서 선생님을 모십니다.,경기 의정부,국어,09.10,10.10
252,보스턴영어수학학원,"초중등 수학선생님 모십니다(화,목요일)",경기 고양시,수학,09.10,채용시
253,PTM영수전문학원,청라 PTM학원 중등 수학 선생님 모십니다.,인천 서구,수학,09.10,10.10
254,메사인재관학원,대치동 중등학원에서 함께하실 성실한 강사를 모십니다!,서울 강남구,수학,09.10,10.10
255,현수학전문학원,열정 넘치는 선생님 모십니다.,인천 서구,수학,09.10,10.10
