법정동명,학원명,계열명,정원합계,주소,학원ID
전라북도 군산시,런던스쿨영어·수학학원,입시.검정 및 보습,140,전라북도 군산시 칠성로 117,65007
전라북도 군산시,레인보우학원,종합(대),69,전라북도 군산시 임피면 임피2길 18,65008
전라북도 군산시,로고스수학학원,입시.검정 및 보습,190,전라북도 군산시 수송동로 100,65009
전라북도 군산시,루바체음악학원,예능(대),57,전라북도 군산시 계산로 78,65010
전라북도 군산시,루트수학전문학원,입시.검정 및 보습,27,전라북도 군산시 서수송1길 9,65011
전라북도 군산시,르누아르미술학원,예능(대),242,전라북도 군산시 백토로 229,65012
전라북도 군산시,리더스대입학원,입시.검정 및 보습,80,전라북도 군산시 나운로 4,65013
전라북도 군산시,리더스종합학원,입시.검정 및 보습,234,전라북도 군산시 나운로 4,65014
전라북도 군산시,리더스학원,입시.검정 및 보습,25,전라북도 군산시 미룡로 46,65015
전라북도 군산시,리스트음악학원,예능(대),96,전라북도 군산시 미룡로 28,65016
전라북도 군산시,리첼음악학원,예능(대),89,전라북도 군산시 수송동로 100,65017
전라북도 군산시,리틀무지개미술학원,예능(대),85,전라북도 군산시 미룡로 22,65018
전라북도 군산시,맘에그린미술학원,예능(대),60,전라북도 군산시 공단대로 54,65019
전라북도 군산시,맥스솔루션과학수학학원,입시.검정 및 보습,158,전라북도 군산시 경기장로 149,65020
전라북도 군산시,맨투맨학원,입시.검정 및 보습,120,전라북도 군산시 부골2길 47-4,65021
전라북도 군산시,메가ECL영어전문학원,입시.검정 및 보습,46,전라북도 군산시 축동안길 37,65022
전라북도 군산시,메디컬간호학원,직업기술,85,전라북도 군산시 문화로 214,65023
전라북도 군산시,멘토르7독서실,독서실,116,전라북도 군산시 월명로 272,65024
전라북도 군산시,멘토영.수전문학원,입시.검정 및 보습,270,전라북도 군산시 하나운로 25,65025
전라북도 군산시,명석입시학원,입시.검정 및 보습,60,전라북도 군산시 나운로 61,65026
전라북도 군산시,뮤엠영어나운학원,입시.검정 및 보습,120,전라북도 군산시 하나운로 18,65027
전라북도 군산시,뮤엠영어일신학원,종합(대),103,전라북도 군산시 문화로 21,65028
전라북도 군산시,뮤직슐레산음악학원,예능(대),32,전라북도 군산시 부곡1길 21-3,65029
전라북도 군산시,뮤직아이음악학원,예능(대),36,전라북도 군산시 나운안1길 19,65030
전라북도 군산시,뮤직영재피아노음악학원,예능(대),44,전라북도 군산시 하나운안1길 40,65031
전라북도 군산시,뮤직클래스피아노학원,예능(대),70,전라북도 군산시 미장안길 55,65032
전라북도 군산시,미가엘실용음악학원,예능(대),94,전라북도 군산시 나운로 4,65033
전라북도 군산시,미뉴엣음악학원,예능(대),72,전라북도 군산시 법원로 19-2,65034
전라북도 군산시,미라클입시학원,입시.검정 및 보습,180,전라북도 군산시 황룡로 37,65035
전라북도 군산시,미래미용학원,직업기술,240,전라북도 군산시 대학로 55-1,65036
전라북도 군산시,바첼음악학원,예능(대),54,전라북도 군산시 수송동로 18,65037
전라북도 군산시,박윤서피아노학원,예능(대),67,전라북도 군산시 창성1길 10,65038
전라북도 군산시,박지혜음악학원,예능(대),35,전라북도 군산시 계산로 71,65039
전라북도 군산시,박지훈피아노학원,예능(대),74,전라북도 군산시 하나운로 18,65040
전라북도 군산시,박창규어학원,국제화,100,전라북도 군산시 수송로 200,65041
전라북도 군산시,반석입시학원,입시.검정 및 보습,45,전라북도 군산시 미룡로 30 (),65042
전라북도 군산시,발레아트스쿨학원,예능(대),100,전라북도 군산시 공단대로 253,65043
전라북도 군산시,밥앤조입시외국어학원,종합(대),126,전라북도 군산시 서흥2길 86,65044
전라북도 군산시,방쌤과학학원,입시.검정 및 보습,200,전라북도 군산시 수송로 214,65045
전라북도 군산시,배티처외국어학원,국제화,120,전라북도 군산시 하나운로 76,65046
전라북도 군산시,백미란음악학원,예능(대),65,전라북도 군산시 양안로 137,65047
전라북도 군산시,백승국토익학원,입시.검정 및 보습,240,전라북도 군산시 미제2길 19,65048
전라북도 군산시,버클리실용음악학원,예능(대),45,전라북도 군산시 미룡로 24,65049
전라북도 군산시,베이직영어수학학원,입시.검정 및 보습,116,전라북도 군산시 백토로 229,65050
전라북도 군산시,보스턴음악학원,예능(대),95,전라북도 군산시 백토로 138,65051
