,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,"1동,2동"
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,"15,000",1997,2017,한마음1길,00025,00000,41480,01,0,4418851,금촌동,0922,0000,41480,10100,1,주공(922-0),11,24,41480-26,49.97,922,41480,6,,,
61,,"22,950",2004,2017,새꽃로,00010,00000,41480,01,0,3206045,금촌동,1022,0000,41480,10100,1,후곡마을주공6단지,11,27,41480-72,59.56,1022,41480,11,,,
62,,"21,200",2006,2017,금신초교길,00072,00000,41480,01,0,4418069,금촌동,1014,0000,41480,10100,1,한일유앤아이1차(1014-0),11,27,41480-550,74.8794,1014,41480,10,,,
63,,"23,100",2004,2017,새꽃로,00010,00000,41480,01,0,3206045,금촌동,1022,0000,41480,10100,1,후곡마을주공6단지,11,28,41480-72,59.56,1022,41480,10,,,
64,,"19,000",1998,2017,황골로,00018,00000,41480,01,0,3206104,금촌동,0228,0001,41480,10100,1,건일장미(228-1),11,29,41480-9,84.87,228-1,41480,14,,,
65,,"21,500",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,11,29,41480-71,59.06,1003,41480,9,,,
66,,"21,500",2004,2017,번영로,00055,00000,41480,01,0,3206113,금촌동,0972,0000,41480,10100,1,새꽃마을뜨란채(972-0),11,29,41480-68,59.99,972,41480,5,,,
67,,"23,400",2004,2017,번영로,00055,00000,41480,01,0,3206113,금촌동,0972,0000,41480,10100,1,새꽃마을뜨란채(972-0),11,29,41480-68,84.98,972,41480,8,,,
68,,"22,000",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,11,30,41480-71,59.06,1003,41480,8,,,
69,,"19,000",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),11,1,41480-6,84.942,283,41480,7,,,
70,,"17,000",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),11,2,41480-6,59.977,283,41480,5,,,
71,,"18,500",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),11,3,41480-6,59.977,283,41480,11,,,
72,,"20,700",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),11,7,41480-6,84.942,283,41480,14,,,
73,,"24,500",2009,2017,시청로,00123,00000,41480,00,0,3206122,아동동,0897,0000,41480,10200,1,신안실크밸리 1차(897-0),11,10,41480-595,84.9588,897,41480,4,,,
74,,"25,500",2010,2017,시청로,00085,00000,41480,02,0,3206122,아동동,0900,0000,41480,10200,1,신안실크밸리2차(900-0),11,10,41480-623,84.7631,900,41480,13,,,
75,,"23,500",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),11,13,41480-6,115.062,283,41480,20,,,
76,,"16,000",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),11,15,41480-6,51.412,283,41480,10,,,
77,,"20,800",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),11,15,41480-6,84.942,283,41480,16,,,
78,,"23,500",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),11,18,41480-6,115.062,283,41480,11,,,
79,,"8,800",1990,2017,시청로,00201,00000,41480,02,0,3206122,아동동,0291,0010,41480,10200,1,무궁화APT,11,20,41480-1,48.6,291-10,41480,1,,,
80,,"20,700",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),11,21,41480-6,84.942,283,41480,22,,,
81,,"22,900",2009,2017,시청로,00123,00000,41480,00,0,3206122,아동동,0897,0000,41480,10200,1,신안실크밸리 1차(897-0),11,21,41480-595,59.912,897,41480,9,,,
82,,"17,000",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),11,22,41480-6,59.977,283,41480,14,,,
83,,"25,200",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),11,22,41480-6,115.062,283,41480,15,,,
84,,"18,500",2001,2017,송화로,00013,00000,41480,02,0,3206049,아동동,0283,0000,41480,10200,1,팜스프링(283-0),11,22,41480-6,84.942,283,41480,20,,,
85,,"26,500",2010,2017,시청로,00085,00000,41480,02,0,3206122,아동동,0900,0000,41480,10200,1,신안실크밸리2차(900-0),11,23,41480-623,84.8014,900,41480,12,,,
