,역번호,역사명,노선번호,노선명,환승역구분,환승노선번호,환승노선명,역위도,역경도,주소,시도코드,시군구코드,법정동코드,환승노선개수
85,0333,매봉,S1103,서울 도시철도 3호선,일반역,,,37.48684644,127.0467037,서울특별시 강남구,11,11230,1168000000,0
86,0334,도곡,S1103,서울 도시철도 3호선,환승역,I4105,분당선,37.49082524,127.0553484,서울특별시 강남구,11,11230,1168000000,1
87,0335,대치,S1103,서울 도시철도 3호선,일반역,,,37.4942795,127.0632665,서울특별시 강남구,11,11230,1168000000,0
88,0336,학여울,S1103,서울 도시철도 3호선,일반역,,,37.49655351,127.0713676,서울특별시 강남구,11,11230,1168000000,0
89,0337,대청,S1103,서울 도시철도 3호선,일반역,,,37.49346096,127.079515,서울특별시 강남구,11,11230,1168000000,0
90,0338,일원,S1103,서울 도시철도 3호선,일반역,,,37.48382242,127.0843143,서울특별시 강남구,11,11230,1168000000,0
91,0339,수서,S1103,서울 도시철도 3호선,환승역,I4105,분당선,37.48716257,127.101553,서울특별시 강남구,11,11230,1168000000,1
92,0340,가락시장,S1103,서울 도시철도 3호선,환승역,S1108,서울 도시철도 8호선,37.49276539,127.1178996,서울특별시 송파구,11,11240,1171000000,1
93,0341,경찰병원,S1103,서울 도시철도 3호선,일반역,,,37.49576539,127.1242996,서울특별시 송파구,11,11240,1171000000,0
94,0342,오금,S1103,서울 도시철도 3호선,환승역,S1105,서울 도시철도 5호선,37.50216539,127.1278996,서울특별시 송파구,11,11240,1171000000,1
95,0409,당고개,S1104,서울 도시철도 4호선,일반역,,,37.67032572,127.0789555,서울특별시 노원구,11,11110,1135000000,0
96,0410,상계,S1104,서울 도시철도 4호선,일반역,,,37.66090497,127.0731287,서울특별시 노원구,11,11110,1135000000,0
97,0411,노원,S1104,서울 도시철도 4호선,환승역,S1107,서울 도시철도 7호선,37.6551493,127.0624948,서울특별시 노원구,11,11110,1135000000,1
98,0412,창동,S1104,서울 도시철도 4호선,환승역,S1101,서울 도시철도 1호선,37.65312232,127.0476886,서울특별시 도봉구,11,11100,1132000000,1
99,0413,쌍문,S1104,서울 도시철도 4호선,일반역,,,37.64853159,127.0345002,서울특별시 도봉구,11,11100,1132000000,0
100,0414,수유,S1104,서울 도시철도 4호선,일반역,,,37.63796529,127.0254433,서울특별시 강북구,11,11090,1130500000,0
101,0415,미아,S1104,서울 도시철도 4호선,일반역,,,37.62657144,127.0258287,서울특별시 강북구,11,11090,1130500000,0
102,0416,미아사거리,S1104,서울 도시철도 4호선,일반역,,,37.61325241,127.0298981,서울특별시 강북구,11,11090,1130500000,0
103,0417,길음,S1104,서울 도시철도 4호선,일반역,,,37.6035085,127.0249611,서울특별시 성북구,11,11080,1129000000,0
104,0418,성신여대입구,S1104,서울 도시철도 4호선,환승역,,우이신설,37.5927377,127.0163071,서울특별시 성북구,11,11080,1129000000,1
105,0419,한성대입구,S1104,서울 도시철도 4호선,일반역,,,37.58838493,127.0059994,서울특별시 성북구,11,11080,1129000000,0
106,0420,혜화,S1104,서울 도시철도 4호선,일반역,,,37.58228892,127.0016857,서울특별시 종로구,11,11010,1111000000,0
107,0421,동대문,S1104,서울 도시철도 4호선,환승역,S1101,서울 도시철도 1호선,37.57089132,127.0101189,서울특별시 종로구,11,11010,1111000000,1
108,0422,동대문역사문화공원,S1104,서울 도시철도 4호선,환승역,S1102+S1105,서울 도시철도 2호선+서울 도시철도 5호선,37.56507829,127.0071679,서울특별시 중구,11,11020,1114000000,2
109,0423,충무로,S1104,서울 도시철도 4호선,환승역,S1103,서울 도시철도 3호선,37.56120209,126.9943556,서울특별시 중구,11,11020,1114000000,1
110,0424,명동,S1104,서울 도시철도 4호선,일반역,,,37.56075073,126.9862482,서울특별시 중구,11,11020,1114000000,0
111,0425,회현,S1104,서울 도시철도 4호선,일반역,,,37.55851662,126.9781303,서울특별시 중구,11,11020,1114000000,0
112,0426,서울역,S1104,서울 도시철도 4호선,환승역,S1101+I2801,서울 도시철도 1호선+공항선,37.55356539,126.9724996,서울특별시 용산구,11,11030,1117000000,2
113,0427,숙대입구,S1104,서울 도시철도 4호선,일반역,,,37.54467788,126.9719943,서울특별시 용산구,11,11030,1117000000,0
114,0428,삼각지,S1104,서울 도시철도 4호선,환승역,S1106,서울 도시철도 6호선,37.53475857,126.9734308,서울특별시 용산구,11,11030,1117000000,1
115,0429,신용산,S1104,서울 도시철도 4호선,일반역,,,37.5292129,126.9677003,서울특별시 용산구,11,11030,1117000000,0
116,0430,이촌,S1104,서울 도시철도 4호선,환승역,I4107,경의중앙선,37.52234094,126.9741382,서울특별시 용산구,11,11030,1117000000,1
117,0431,동작,S1104,서울 도시철도 4호선,환승역,S1109,서울 도시철도 9호선,37.50300413,126.9790224,서울특별시 동작구,11,11200,1159000000,1
118,0432,총신대입구,S1104,서울 도시철도 4호선,환승역,S1107,서울 도시철도 7호선,37.48678247,126.981945,서울특별시 동작구,11,11200,1159000000,1
119,0433,사당,S1104,서울 도시철도 4호선,환승역,S1102,서울 도시철도 2호선,37.4767992,126.9814245,서울특별시 동작구,11,11200,1159000000,1
120,0434,남태령,S1104,서울 도시철도 4호선,일반역,,,37.46424858,126.9888363,서울특별시 서초구,11,11220,1165000000,0
121,100,양촌역,L4101,김포골드라인,일반역,,-,37.64179203,126.6146219,경기도 김포시,31,31230,4157000000,0
122,100,녹동역,S2901,광주도시철도 1호선,일반역,,,35.107028,126.933932,광주광역시 동구,24,24010,2911000000,0
123,100,동매역,S2601,부산도시철도 1호선,일반역,,,35.048621,128.965908,부산광역시 사하구,21,21100,2638000000,0
124,100,소요산역,k0205,경원선,일반역,,,37.948608,127.061007,경기도 동두천시,31,31080,4125000000,0
125,101,소태역,S2901,광주도시철도 1호선,일반역,,,35.124108,126.932013,광주광역시 동구,24,24010,2911000000,0
126,101,사상역,L4801,부산-김해경전철,환승역,L4801+S2602,부산-김해경전철+부산도시철도 2호선,35.162305,128.985784,부산광역시 사상구,21,21150,2653000000,2
127,101,판암,S3001,대전도시철도 1호선,일반역,,,36.316896,127.458264,대전광역시 동구,25,25010,3011000000,0
128,101,동두천역,k0205,경원선,일반역,,,37.927569,127.054825,경기도 동두천시,31,31080,4125000000,0
129,101,구래역,L4101,김포골드라인,일반역,,-,37.6453934,126.628576,경기도 김포시,31,31230,4157000000,0
130,101,신평역,S2601,부산도시철도 1호선,일반역,,,35.095179,128.960564,부산광역시 사하구,21,21100,2638000000,0
131,102,마산역,L4101,김포골드라인,일반역,,-,37.64060947,126.6440072,경기도 김포시,31,31230,4157000000,0
132,102,괘법르네시떼역,L4801,부산-김해경전철,일반역,,,35.16331,128.977737,부산광역시 사상구,21,21150,2653000000,0
133,102,괘법르네시떼역,L4801,부산-김해경전철,일반역,,,35.163311,128.977737,부산광역시 사상구,21,21150,2653000000,0
134,102,신흥,S3001,대전도시철도 1호선,일반역,,,36.319652,127.448792,대전광역시 동구,25,25010,3011000000,0
135,102,보산역,k0205,경원선,일반역,,,37.914268,127.057134,경기도 동두천시,31,31080,4125000000,0
136,102,하단역,S2601,부산도시철도 1호선,일반역,,,35.10618,128.966803,부산광역시 사하구,21,21100,2638000000,0
137,102,학동증심사입구역,S2901,광주도시철도 1호선,일반역,,,35.133023,126.928382,광주광역시 동구,24,24010,2911000000,0
138,103,대동,S3001,대전도시철도 1호선,일반역,,,36.329532,127.442848,대전광역시 동구,25,25010,3011000000,0
